Bildname,Rot,Grün,Blau,Weiß,Grau,Schwarz
bild_2024-01-15-07-17-37.jpg,38.47,33.77,27.64,0.01,0.11,0.00
bild_2024-01-15-13-17-40.jpg,38.78,34.96,26.15,0.01,0.09,0.00
bild_2024-01-16-01-17-46.jpg,38.71,34.97,26.22,0.01,0.09,0.00
bild_2024-01-16-07-17-48.jpg,38.77,34.45,26.68,0.01,0.09,0.00
bild_2024-01-16-13-17-51.jpg,38.91,35.21,25.78,0.01,0.09,0.00
bild_2024-01-17-01-17-57.jpg,39.24,35.09,25.57,0.01,0.09,0.00
bild_2024-01-17-07-17-59.jpg,39.21,34.65,26.03,0.01,0.09,0.00
bild_2024-01-17-13-18-02.jpg,39.39,34.89,25.63,0.01,0.08,0.00
bild_2024-01-18-01-18-08.jpg,39.85,34.13,25.92,0.01,0.09,0.00
bild_2024-01-18-07-18-11.jpg,40.93,34.13,24.83,0.01,0.10,0.00
bild_2024-01-18-08-17-41.jpg,40.56,33.48,25.85,0.01,0.09,0.00
bild_2024-01-18-08-24-15.jpg,40.79,33.66,25.44,0.01,0.09,0.00
bild_2024-01-18-14-24-20.jpg,40.53,33.25,26.12,0.01,0.09,0.00
bild_2024-01-19-02-24-25.jpg,41.41,32.26,26.24,0.01,0.09,0.00
bild_2024-01-19-08-24-28.jpg,42.06,32.69,25.14,0.01,0.10,0.00
bild_2024-01-19-14-24-31.jpg,42.06,32.75,25.09,0.01,0.08,0.00
bild_2024-01-20-02-24-36.jpg,43.14,32.28,24.49,0.01,0.08,0.00
bild_2024-01-20-08-24-39.jpg,42.63,32.75,24.53,0.01,0.08,0.00
bild_2024-01-20-14-24-42.jpg,43.37,32.79,23.76,0.01,0.08,0.00
bild_2024-01-21-02-24-47.jpg,44.00,32.75,23.16,0.01,0.07,0.00
bild_2024-01-21-08-24-50.jpg,43.08,35.06,21.77,0.01,0.08,0.00
bild_2024-01-21-14-24-53.jpg,44.27,33.89,21.75,0.01,0.08,0.00
bild_2024-01-22-02-24-59.jpg,44.86,35.06,20.00,0.01,0.07,0.00
bild_2024-01-22-08-25-01.jpg,36.15,34.10,29.62,0.01,0.12,0.00
bild_2024-01-22-14-25-04.jpg,44.05,35.87,19.99,0.01,0.07,0.00
bild_2024-01-23-02-25-10.jpg,43.00,38.55,18.37,0.01,0.07,0.00
bild_2024-01-23-08-25-13.jpg,44.34,37.47,18.11,0.01,0.07,0.00
bild_2024-01-23-14-25-16.jpg,43.64,37.86,18.42,0.01,0.07,0.00
bild_2024-01-24-02-25-22.jpg,45.34,38.46,16.13,0.01,0.06,0.00
bild_2024-01-24-08-25-24.jpg,44.22,39.23,16.49,0.01,0.06,0.00
bild_2024-01-24-14-25-27.jpg,42.33,40.37,17.23,0.01,0.06,0.00
bild_2024-01-25-02-25-33.jpg,41.83,42.31,15.80,0.01,0.06,0.00
